0	blank	1
30000	scrambled	1
60000	happy	1
90000	sad	1
120000	angry	1
150000	neutral	1
180000	happy	1
210000	sad	1
240000	angry	1
270000	neutral	1
300000	scrambled	1
330000	blank	1
360000	end	1
370000	neutral	3
400000	blank	3
430000	angry	3
460000	scrambled	3
490000	happy	3
520000	sad	3
550000	neutral	3
580000	blank	3
610000	angry	3
640000	scrambled	3
670000	happy	3
700000	sad	3
730000	end	3
740000	happy	4
770000	angry	4
800000	neutral	4
830000	blank	4
860000	sad	4
890000	scrambled	4
920000	happy	4
950000	angry	4
980000	neutral	4
1010000	blank	4
1040000	sad	4
1070000	scrambled	4
1100000	end	4
1110000	scrambled	5
1140000	sad	5
1170000	happy	5
1200000	neutral	5
1230000	angry	5
1260000	blank	5
1290000	scrambled	5
1320000	sad	5
1350000	happy	5
1380000	neutral	5
1410000	angry	5
1440000	blank	5
1470000	end	5
